date,staff_id,staff_name,staff_type,staff_role,cases,minutes,week
2024-01-03,S001,陳醫師,doctor,doctor,0,31,1
2024-01-03,S002,李醫師,doctor,doctor,0,42,1
2024-01-03,S003,吳醫師,doctor,doctor,0,43,1
2024-01-03,S004,林醫師,doctor,doctor,0,53,1
2024-01-03,S005,張護理師,nurse,nurse,0,142,1
2024-01-03,S006,劉護理師,nurse,nurse,0,91,1
2024-01-03,S007,陳護理師,nurse,nurse,0,143,1
2024-01-03,S008,王美療師,therapist,therapist,0,104,1
2024-01-03,S009,林美療師,therapist,therapist,0,137,1
2024-01-03,S010,葉美療師,therapist,therapist,0,144,1
2024-01-03,S011,陳美療師,therapist,therapist,0,129,1
2024-01-03,S012,黃諮詢師,consultant,consultant,0,130,1
2024-01-03,S013,林諮詢師,consultant,consultant,0,102,1
2024-01-03,S014,郭櫃台,admin,admin,0,414,1
2024-01-03,S015,許行政,admin,admin,0,366,1
2024-01-03,S016,邱客服,admin,admin,0,399,1
2024-01-03,S017,王護理師,nurse,nurse,0,91,1
2024-01-03,S018,趙護理師,nurse,nurse,0,119,1
2024-01-03,S019,周諮詢師,consultant,consultant,0,139,1
2024-01-04,S001,陳醫師,doctor,doctor,0,52,1
2024-01-04,S002,李醫師,doctor,doctor,0,55,1
2024-01-04,S003,吳醫師,doctor,doctor,0,40,1
2024-01-04,S004,林醫師,doctor,doctor,0,53,1
2024-01-04,S005,張護理師,nurse,nurse,0,145,1
2024-01-04,S006,劉護理師,nurse,nurse,0,104,1
2024-01-04,S007,陳護理師,nurse,nurse,0,98,1
2024-01-04,S008,王美療師,therapist,therapist,0,149,1
2024-01-04,S009,林美療師,therapist,therapist,0,143,1
2024-01-04,S010,葉美療師,therapist,therapist,0,134,1
2024-01-04,S011,陳美療師,therapist,therapist,0,125,1
2024-01-04,S012,黃諮詢師,consultant,consultant,0,143,1
2024-01-04,S013,林諮詢師,consultant,consultant,0,136,1
2024-01-04,S014,郭櫃台,admin,admin,0,442,1
2024-01-04,S015,許行政,admin,admin,0,377,1
2024-01-04,S016,邱客服,admin,admin,0,422,1
2024-01-04,S017,王護理師,nurse,nurse,0,101,1
2024-01-04,S018,趙護理師,nurse,nurse,0,96,1
2024-01-04,S019,周諮詢師,consultant,consultant,0,141,1
2024-01-05,S001,陳醫師,doctor,doctor,0,41,1
2024-01-05,S002,李醫師,doctor,doctor,0,53,1
2024-01-05,S003,吳醫師,doctor,doctor,0,42,1
2024-01-05,S004,林醫師,doctor,doctor,0,40,1
2024-01-05,S005,張護理師,nurse,nurse,0,140,1
2024-01-05,S006,劉護理師,nurse,nurse,0,127,1
2024-01-05,S007,陳護理師,nurse,nurse,0,138,1
2024-01-05,S008,王美療師,therapist,therapist,0,106,1
2024-01-05,S009,林美療師,therapist,therapist,0,135,1
2024-01-05,S010,葉美療師,therapist,therapist,0,108,1
2024-01-05,S011,陳美療師,therapist,therapist,0,115,1
2024-01-05,S012,黃諮詢師,consultant,consultant,0,120,1
2024-01-05,S013,林諮詢師,consultant,consultant,0,107,1
2024-01-05,S014,郭櫃台,admin,admin,0,443,1
2024-01-05,S015,許行政,admin,admin,0,363,1
2024-01-05,S016,邱客服,admin,admin,0,387,1
2024-01-05,S017,王護理師,nurse,nurse,0,92,1
2024-01-05,S018,趙護理師,nurse,nurse,0,133,1
2024-01-05,S019,周諮詢師,consultant,consultant,0,92,1
2024-01-06,S001,陳醫師,doctor,doctor,0,32,1
2024-01-06,S002,李醫師,doctor,doctor,0,45,1
2024-01-06,S003,吳醫師,doctor,doctor,0,38,1
2024-01-06,S004,林醫師,doctor,doctor,0,55,1
2024-01-06,S005,張護理師,nurse,nurse,0,117,1
2024-01-06,S006,劉護理師,nurse,nurse,0,109,1
2024-01-06,S007,陳護理師,nurse,nurse,0,130,1
2024-01-06,S008,王美療師,therapist,therapist,0,145,1
2024-01-06,S009,林美療師,therapist,therapist,0,104,1
2024-01-06,S010,葉美療師,therapist,therapist,0,121,1
2024-01-06,S011,陳美療師,therapist,therapist,0,109,1
2024-01-06,S012,黃諮詢師,consultant,consultant,0,103,1
2024-01-06,S013,林諮詢師,consultant,consultant,0,131,1
2024-01-06,S014,郭櫃台,admin,admin,0,415,1
2024-01-06,S015,許行政,admin,admin,0,343,1
2024-01-06,S016,邱客服,admin,admin,0,414,1
2024-01-06,S017,王護理師,nurse,nurse,0,135,1
2024-01-06,S018,趙護理師,nurse,nurse,0,141,1
2024-01-06,S019,周諮詢師,consultant,consultant,0,96,1
2024-01-07,S001,陳醫師,doctor,doctor,0,60,1
2024-01-07,S002,李醫師,doctor,doctor,0,50,1
2024-01-07,S003,吳醫師,doctor,doctor,0,50,1
2024-01-07,S004,林醫師,doctor,doctor,0,40,1
2024-01-07,S005,張護理師,nurse,nurse,0,142,1
2024-01-07,S006,劉護理師,nurse,nurse,0,118,1
2024-01-07,S007,陳護理師,nurse,nurse,0,118,1
2024-01-07,S008,王美療師,therapist,therapist,0,120,1
2024-01-07,S009,林美療師,therapist,therapist,0,144,1
2024-01-07,S010,葉美療師,therapist,therapist,0,96,1
2024-01-07,S011,陳美療師,therapist,therapist,0,145,1
2024-01-07,S012,黃諮詢師,consultant,consultant,0,120,1
2024-01-07,S013,林諮詢師,consultant,consultant,0,110,1
2024-01-07,S014,郭櫃台,admin,admin,0,444,1
2024-01-07,S015,許行政,admin,admin,0,392,1
2024-01-07,S016,邱客服,admin,admin,0,400,1
2024-01-07,S017,王護理師,nurse,nurse,0,90,1
2024-01-07,S018,趙護理師,nurse,nurse,0,99,1
2024-01-07,S019,周諮詢師,consultant,consultant,0,125,1
2024-01-08,S001,陳醫師,doctor,doctor,0,44,2
2024-01-08,S002,李醫師,doctor,doctor,0,32,2
2024-01-08,S003,吳醫師,doctor,doctor,0,47,2
2024-01-08,S004,林醫師,doctor,doctor,0,45,2
2024-01-08,S005,張護理師,nurse,nurse,0,99,2
2024-01-08,S006,劉護理師,nurse,nurse,0,116,2
2024-01-08,S007,陳護理師,nurse,nurse,0,131,2
2024-01-08,S008,王美療師,therapist,therapist,0,115,2
2024-01-08,S009,林美療師,therapist,therapist,0,114,2
2024-01-08,S010,葉美療師,therapist,therapist,0,117,2
2024-01-08,S011,陳美療師,therapist,therapist,0,117,2
2024-01-08,S012,黃諮詢師,consultant,consultant,0,95,2
2024-01-08,S013,林諮詢師,consultant,consultant,0,129,2
2024-01-08,S014,郭櫃台,admin,admin,0,399,2
2024-01-08,S015,許行政,admin,admin,0,322,2
2024-01-08,S016,邱客服,admin,admin,0,437,2
2024-01-08,S017,王護理師,nurse,nurse,0,148,2
2024-01-08,S018,趙護理師,nurse,nurse,0,137,2
2024-01-08,S019,周諮詢師,consultant,consultant,0,94,2
2024-01-09,S001,陳醫師,doctor,doctor,0,31,2
2024-01-09,S002,李醫師,doctor,doctor,0,57,2
2024-01-09,S003,吳醫師,doctor,doctor,0,59,2
2024-01-09,S004,林醫師,doctor,doctor,0,47,2
2024-01-09,S005,張護理師,nurse,nurse,0,114,2
2024-01-09,S006,劉護理師,nurse,nurse,0,114,2
2024-01-09,S007,陳護理師,nurse,nurse,0,112,2
2024-01-09,S008,王美療師,therapist,therapist,0,117,2
2024-01-09,S009,林美療師,therapist,therapist,0,126,2
2024-01-09,S010,葉美療師,therapist,therapist,0,110,2
2024-01-09,S011,陳美療師,therapist,therapist,0,126,2
2024-01-09,S012,黃諮詢師,consultant,consultant,0,150,2
2024-01-09,S013,林諮詢師,consultant,consultant,0,99,2
2024-01-09,S014,郭櫃台,admin,admin,0,400,2
2024-01-09,S015,許行政,admin,admin,0,343,2
2024-01-09,S016,邱客服,admin,admin,0,411,2
2024-01-09,S017,王護理師,nurse,nurse,0,103,2
2024-01-09,S018,趙護理師,nurse,nurse,0,142,2
2024-01-09,S019,周諮詢師,consultant,consultant,0,117,2
2024-01-10,S001,陳醫師,doctor,doctor,0,48,2
2024-01-10,S002,李醫師,doctor,doctor,0,34,2
2024-01-10,S003,吳醫師,doctor,doctor,0,47,2
2024-01-10,S004,林醫師,doctor,doctor,0,54,2
2024-01-10,S005,張護理師,nurse,nurse,0,107,2
2024-01-10,S006,劉護理師,nurse,nurse,0,91,2
2024-01-10,S007,陳護理師,nurse,nurse,0,106,2
2024-01-10,S008,王美療師,therapist,therapist,0,131,2
2024-01-10,S009,林美療師,therapist,therapist,0,100,2
2024-01-10,S010,葉美療師,therapist,therapist,0,118,2
2024-01-10,S011,陳美療師,therapist,therapist,0,112,2
2024-01-10,S012,黃諮詢師,consultant,consultant,0,92,2
2024-01-10,S013,林諮詢師,consultant,consultant,0,99,2
2024-01-10,S014,郭櫃台,admin,admin,0,406,2
2024-01-10,S015,許行政,admin,admin,0,412,2
2024-01-10,S016,邱客服,admin,admin,0,366,2
2024-01-10,S017,王護理師,nurse,nurse,0,126,2
2024-01-10,S018,趙護理師,nurse,nurse,0,118,2
2024-01-10,S019,周諮詢師,consultant,consultant,0,125,2
2024-01-11,S001,陳醫師,doctor,doctor,0,43,2
2024-01-11,S002,李醫師,doctor,doctor,0,55,2
2024-01-11,S003,吳醫師,doctor,doctor,0,44,2
2024-01-11,S004,林醫師,doctor,doctor,0,50,2
2024-01-11,S005,張護理師,nurse,nurse,0,148,2
2024-01-11,S006,劉護理師,nurse,nurse,0,125,2
2024-01-11,S007,陳護理師,nurse,nurse,0,108,2
2024-01-11,S008,王美療師,therapist,therapist,0,117,2
2024-01-11,S009,林美療師,therapist,therapist,0,128,2
2024-01-11,S010,葉美療師,therapist,therapist,0,101,2
2024-01-11,S011,陳美療師,therapist,therapist,0,139,2
2024-01-11,S012,黃諮詢師,consultant,consultant,0,123,2
2024-01-11,S013,林諮詢師,consultant,consultant,0,121,2
2024-01-11,S014,郭櫃台,admin,admin,0,410,2
2024-01-11,S015,許行政,admin,admin,0,395,2
2024-01-11,S016,邱客服,admin,admin,0,434,2
2024-01-11,S017,王護理師,nurse,nurse,0,102,2
2024-01-11,S018,趙護理師,nurse,nurse,0,112,2
2024-01-11,S019,周諮詢師,consultant,consultant,0,126,2
2024-01-12,S001,陳醫師,doctor,doctor,0,39,2
2024-01-12,S002,李醫師,doctor,doctor,0,47,2
2024-01-12,S003,吳醫師,doctor,doctor,0,41,2
2024-01-12,S004,林醫師,doctor,doctor,0,36,2
2024-01-12,S005,張護理師,nurse,nurse,0,103,2
2024-01-12,S006,劉護理師,nurse,nurse,0,134,2
2024-01-12,S007,陳護理師,nurse,nurse,0,133,2
2024-01-12,S008,王美療師,therapist,therapist,0,135,2
2024-01-12,S009,林美療師,therapist,therapist,0,91,2
2024-01-12,S010,葉美療師,therapist,therapist,0,127,2
2024-01-12,S011,陳美療師,therapist,therapist,0,92,2
2024-01-12,S012,黃諮詢師,consultant,consultant,0,120,2
2024-01-12,S013,林諮詢師,consultant,consultant,0,119,2
2024-01-12,S014,郭櫃台,admin,admin,0,349,2
2024-01-12,S015,許行政,admin,admin,0,340,2
2024-01-12,S016,邱客服,admin,admin,0,313,2
2024-01-12,S017,王護理師,nurse,nurse,0,113,2
2024-01-12,S018,趙護理師,nurse,nurse,0,92,2
2024-01-12,S019,周諮詢師,consultant,consultant,0,146,2
2024-01-13,S001,陳醫師,doctor,doctor,0,35,2
2024-01-13,S002,李醫師,doctor,doctor,0,58,2
2024-01-13,S003,吳醫師,doctor,doctor,0,60,2
2024-01-13,S004,林醫師,doctor,doctor,0,51,2
2024-01-13,S005,張護理師,nurse,nurse,0,102,2
2024-01-13,S006,劉護理師,nurse,nurse,0,137,2
2024-01-13,S007,陳護理師,nurse,nurse,0,140,2
2024-01-13,S008,王美療師,therapist,therapist,0,141,2
2024-01-13,S009,林美療師,therapist,therapist,0,118,2
2024-01-13,S010,葉美療師,therapist,therapist,0,150,2
2024-01-13,S011,陳美療師,therapist,therapist,0,99,2
2024-01-13,S012,黃諮詢師,consultant,consultant,0,128,2
2024-01-13,S013,林諮詢師,consultant,consultant,0,113,2
2024-01-13,S014,郭櫃台,admin,admin,0,385,2
2024-01-13,S015,許行政,admin,admin,0,332,2
2024-01-13,S016,邱客服,admin,admin,0,337,2
2024-01-13,S017,王護理師,nurse,nurse,0,108,2
2024-01-13,S018,趙護理師,nurse,nurse,0,132,2
2024-01-13,S019,周諮詢師,consultant,consultant,0,134,2
2024-01-14,S001,陳醫師,doctor,doctor,0,49,2
2024-01-14,S002,李醫師,doctor,doctor,0,43,2
2024-01-14,S003,吳醫師,doctor,doctor,0,55,2
2024-01-14,S004,林醫師,doctor,doctor,0,56,2
2024-01-14,S005,張護理師,nurse,nurse,0,112,2
2024-01-14,S006,劉護理師,nurse,nurse,0,140,2
2024-01-14,S007,陳護理師,nurse,nurse,0,130,2
2024-01-14,S008,王美療師,therapist,therapist,0,91,2
2024-01-14,S009,林美療師,therapist,therapist,0,134,2
2024-01-14,S010,葉美療師,therapist,therapist,0,144,2
2024-01-14,S011,陳美療師,therapist,therapist,0,98,2
2024-01-14,S012,黃諮詢師,consultant,consultant,0,127,2
2024-01-14,S013,林諮詢師,consultant,consultant,0,130,2
2024-01-14,S014,郭櫃台,admin,admin,0,322,2
2024-01-14,S015,許行政,admin,admin,0,437,2
2024-01-14,S016,邱客服,admin,admin,0,417,2
2024-01-14,S017,王護理師,nurse,nurse,0,141,2
2024-01-14,S018,趙護理師,nurse,nurse,0,137,2
2024-01-14,S019,周諮詢師,consultant,consultant,0,142,2
2024-01-15,S001,陳醫師,doctor,doctor,0,46,3
2024-01-15,S002,李醫師,doctor,doctor,0,45,3
2024-01-15,S003,吳醫師,doctor,doctor,0,59,3
2024-01-15,S004,林醫師,doctor,doctor,0,44,3
2024-01-15,S005,張護理師,nurse,nurse,0,108,3
2024-01-15,S006,劉護理師,nurse,nurse,0,90,3
2024-01-15,S007,陳護理師,nurse,nurse,0,134,3
2024-01-15,S008,王美療師,therapist,therapist,0,111,3
2024-01-15,S009,林美療師,therapist,therapist,0,130,3
2024-01-15,S010,葉美療師,therapist,therapist,0,150,3
2024-01-15,S011,陳美療師,therapist,therapist,0,129,3
2024-01-15,S012,黃諮詢師,consultant,consultant,0,95,3
2024-01-15,S013,林諮詢師,consultant,consultant,0,138,3
2024-01-15,S014,郭櫃台,admin,admin,0,398,3
2024-01-15,S015,許行政,admin,admin,0,388,3
2024-01-15,S016,邱客服,admin,admin,0,376,3
2024-01-15,S017,王護理師,nurse,nurse,0,124,3
2024-01-15,S018,趙護理師,nurse,nurse,0,150,3
2024-01-15,S019,周諮詢師,consultant,consultant,0,115,3
2024-01-16,S001,陳醫師,doctor,doctor,0,33,3
2024-01-16,S002,李醫師,doctor,doctor,0,37,3
2024-01-16,S003,吳醫師,doctor,doctor,0,35,3
2024-01-16,S004,林醫師,doctor,doctor,0,49,3
2024-01-16,S005,張護理師,nurse,nurse,0,94,3
2024-01-16,S006,劉護理師,nurse,nurse,0,128,3
2024-01-16,S007,陳護理師,nurse,nurse,0,111,3
2024-01-16,S008,王美療師,therapist,therapist,0,90,3
2024-01-16,S009,林美療師,therapist,therapist,0,141,3
2024-01-16,S010,葉美療師,therapist,therapist,0,132,3
2024-01-16,S011,陳美療師,therapist,therapist,0,122,3
2024-01-16,S012,黃諮詢師,consultant,consultant,0,116,3
2024-01-16,S013,林諮詢師,consultant,consultant,0,99,3
2024-01-16,S014,郭櫃台,admin,admin,0,431,3
2024-01-16,S015,許行政,admin,admin,0,441,3
2024-01-16,S016,邱客服,admin,admin,0,337,3
2024-01-16,S017,王護理師,nurse,nurse,0,93,3
2024-01-16,S018,趙護理師,nurse,nurse,0,92,3
2024-01-16,S019,周諮詢師,consultant,consultant,0,133,3
2024-01-17,S001,陳醫師,doctor,doctor,0,49,3
2024-01-17,S002,李醫師,doctor,doctor,0,51,3
2024-01-17,S003,吳醫師,doctor,doctor,0,54,3
2024-01-17,S004,林醫師,doctor,doctor,0,41,3
2024-01-17,S005,張護理師,nurse,nurse,0,104,3
2024-01-17,S006,劉護理師,nurse,nurse,0,104,3
2024-01-17,S007,陳護理師,nurse,nurse,0,140,3
2024-01-17,S008,王美療師,therapist,therapist,0,146,3
2024-01-17,S009,林美療師,therapist,therapist,0,145,3
2024-01-17,S010,葉美療師,therapist,therapist,0,150,3
2024-01-17,S011,陳美療師,therapist,therapist,0,104,3
2024-01-17,S012,黃諮詢師,consultant,consultant,0,110,3
2024-01-17,S013,林諮詢師,consultant,consultant,0,107,3
2024-01-17,S014,郭櫃台,admin,admin,0,387,3
2024-01-17,S015,許行政,admin,admin,0,427,3
2024-01-17,S016,邱客服,admin,admin,0,447,3
2024-01-17,S017,王護理師,nurse,nurse,0,149,3
2024-01-17,S018,趙護理師,nurse,nurse,0,96,3
2024-01-17,S019,周諮詢師,consultant,consultant,0,120,3
2024-01-18,S001,陳醫師,doctor,doctor,0,31,3
2024-01-18,S002,李醫師,doctor,doctor,0,60,3
2024-01-18,S003,吳醫師,doctor,doctor,0,54,3
2024-01-18,S004,林醫師,doctor,doctor,0,32,3
2024-01-18,S005,張護理師,nurse,nurse,0,100,3
2024-01-18,S006,劉護理師,nurse,nurse,0,139,3
2024-01-18,S007,陳護理師,nurse,nurse,0,147,3
2024-01-18,S008,王美療師,therapist,therapist,0,146,3
2024-01-18,S009,林美療師,therapist,therapist,0,109,3
2024-01-18,S010,葉美療師,therapist,therapist,0,98,3
2024-01-18,S011,陳美療師,therapist,therapist,0,105,3
2024-01-18,S012,黃諮詢師,consultant,consultant,0,102,3
2024-01-18,S013,林諮詢師,consultant,consultant,0,142,3
2024-01-18,S014,郭櫃台,admin,admin,0,417,3
2024-01-18,S015,許行政,admin,admin,0,345,3
2024-01-18,S016,邱客服,admin,admin,0,382,3
2024-01-18,S017,王護理師,nurse,nurse,0,145,3
2024-01-18,S018,趙護理師,nurse,nurse,0,107,3
2024-01-18,S019,周諮詢師,consultant,consultant,0,131,3
2024-01-19,S001,陳醫師,doctor,doctor,0,42,3
2024-01-19,S002,李醫師,doctor,doctor,0,45,3
2024-01-19,S003,吳醫師,doctor,doctor,0,32,3
2024-01-19,S004,林醫師,doctor,doctor,0,40,3
2024-01-19,S005,張護理師,nurse,nurse,0,135,3
2024-01-19,S006,劉護理師,nurse,nurse,0,97,3
2024-01-19,S007,陳護理師,nurse,nurse,0,139,3
2024-01-19,S008,王美療師,therapist,therapist,0,90,3
2024-01-19,S009,林美療師,therapist,therapist,0,139,3
2024-01-19,S010,葉美療師,therapist,therapist,0,126,3
2024-01-19,S011,陳美療師,therapist,therapist,0,132,3
2024-01-19,S012,黃諮詢師,consultant,consultant,0,142,3
2024-01-19,S013,林諮詢師,consultant,consultant,0,102,3
2024-01-19,S014,郭櫃台,admin,admin,0,403,3
2024-01-19,S015,許行政,admin,admin,0,322,3
2024-01-19,S016,邱客服,admin,admin,0,338,3
2024-01-19,S017,王護理師,nurse,nurse,0,141,3
2024-01-19,S018,趙護理師,nurse,nurse,0,143,3
2024-01-19,S019,周諮詢師,consultant,consultant,0,150,3
2024-01-20,S001,陳醫師,doctor,doctor,0,33,3
2024-01-20,S002,李醫師,doctor,doctor,0,46,3
2024-01-20,S003,吳醫師,doctor,doctor,0,49,3
2024-01-20,S004,林醫師,doctor,doctor,0,56,3
2024-01-20,S005,張護理師,nurse,nurse,0,119,3
2024-01-20,S006,劉護理師,nurse,nurse,0,137,3
2024-01-20,S007,陳護理師,nurse,nurse,0,142,3
2024-01-20,S008,王美療師,therapist,therapist,0,100,3
2024-01-20,S009,林美療師,therapist,therapist,0,117,3
2024-01-20,S010,葉美療師,therapist,therapist,0,110,3
2024-01-20,S011,陳美療師,therapist,therapist,0,91,3
2024-01-20,S012,黃諮詢師,consultant,consultant,0,104,3
2024-01-20,S013,林諮詢師,consultant,consultant,0,94,3
2024-01-20,S014,郭櫃台,admin,admin,0,337,3
2024-01-20,S015,許行政,admin,admin,0,426,3
2024-01-20,S016,邱客服,admin,admin,0,309,3
2024-01-20,S017,王護理師,nurse,nurse,0,123,3
2024-01-20,S018,趙護理師,nurse,nurse,0,90,3
2024-01-20,S019,周諮詢師,consultant,consultant,0,115,3
2024-01-21,S001,陳醫師,doctor,doctor,0,40,3
2024-01-21,S002,李醫師,doctor,doctor,0,57,3
2024-01-21,S003,吳醫師,doctor,doctor,0,44,3
2024-01-21,S004,林醫師,doctor,doctor,0,51,3
2024-01-21,S005,張護理師,nurse,nurse,0,131,3
2024-01-21,S006,劉護理師,nurse,nurse,0,100,3
2024-01-21,S007,陳護理師,nurse,nurse,0,113,3
2024-01-21,S008,王美療師,therapist,therapist,0,139,3
2024-01-21,S009,林美療師,therapist,therapist,0,94,3
2024-01-21,S010,葉美療師,therapist,therapist,0,134,3
2024-01-21,S011,陳美療師,therapist,therapist,0,111,3
2024-01-21,S012,黃諮詢師,consultant,consultant,0,92,3
2024-01-21,S013,林諮詢師,consultant,consultant,0,134,3
2024-01-21,S014,郭櫃台,admin,admin,0,426,3
2024-01-21,S015,許行政,admin,admin,0,365,3
2024-01-21,S016,邱客服,admin,admin,0,422,3
2024-01-21,S017,王護理師,nurse,nurse,0,114,3
2024-01-21,S018,趙護理師,nurse,nurse,0,111,3
2024-01-21,S019,周諮詢師,consultant,consultant,0,150,3
2024-01-22,S001,陳醫師,doctor,doctor,0,55,4
2024-01-22,S002,李醫師,doctor,doctor,0,36,4
2024-01-22,S003,吳醫師,doctor,doctor,0,51,4
2024-01-22,S004,林醫師,doctor,doctor,0,42,4
2024-01-22,S005,張護理師,nurse,nurse,0,135,4
2024-01-22,S006,劉護理師,nurse,nurse,0,144,4
2024-01-22,S007,陳護理師,nurse,nurse,0,113,4
2024-01-22,S008,王美療師,therapist,therapist,0,106,4
2024-01-22,S009,林美療師,therapist,therapist,0,128,4
2024-01-22,S010,葉美療師,therapist,therapist,0,130,4
2024-01-22,S011,陳美療師,therapist,therapist,0,114,4
2024-01-22,S012,黃諮詢師,consultant,consultant,0,140,4
2024-01-22,S013,林諮詢師,consultant,consultant,0,107,4
2024-01-22,S014,郭櫃台,admin,admin,0,406,4
2024-01-22,S015,許行政,admin,admin,0,321,4
2024-01-22,S016,邱客服,admin,admin,0,348,4
2024-01-22,S017,王護理師,nurse,nurse,0,148,4
2024-01-22,S018,趙護理師,nurse,nurse,0,144,4
2024-01-22,S019,周諮詢師,consultant,consultant,0,121,4
2024-01-23,S001,陳醫師,doctor,doctor,0,55,4
2024-01-23,S002,李醫師,doctor,doctor,0,32,4
2024-01-23,S003,吳醫師,doctor,doctor,0,50,4
2024-01-23,S004,林醫師,doctor,doctor,0,42,4
2024-01-23,S005,張護理師,nurse,nurse,0,108,4
2024-01-23,S006,劉護理師,nurse,nurse,0,99,4
2024-01-23,S007,陳護理師,nurse,nurse,0,90,4
2024-01-23,S008,王美療師,therapist,therapist,0,95,4
2024-01-23,S009,林美療師,therapist,therapist,0,118,4
2024-01-23,S010,葉美療師,therapist,therapist,0,128,4
2024-01-23,S011,陳美療師,therapist,therapist,0,108,4
2024-01-23,S012,黃諮詢師,consultant,consultant,0,92,4
2024-01-23,S013,林諮詢師,consultant,consultant,0,141,4
2024-01-23,S014,郭櫃台,admin,admin,0,332,4
2024-01-23,S015,許行政,admin,admin,0,404,4
2024-01-23,S016,邱客服,admin,admin,0,367,4
2024-01-23,S017,王護理師,nurse,nurse,0,102,4
2024-01-23,S018,趙護理師,nurse,nurse,0,117,4
2024-01-23,S019,周諮詢師,consultant,consultant,0,98,4
2024-01-24,S001,陳醫師,doctor,doctor,0,51,4
2024-01-24,S002,李醫師,doctor,doctor,0,44,4
2024-01-24,S003,吳醫師,doctor,doctor,0,56,4
2024-01-24,S004,林醫師,doctor,doctor,0,46,4
2024-01-24,S005,張護理師,nurse,nurse,0,100,4
2024-01-24,S006,劉護理師,nurse,nurse,0,105,4
2024-01-24,S007,陳護理師,nurse,nurse,0,121,4
2024-01-24,S008,王美療師,therapist,therapist,0,141,4
2024-01-24,S009,林美療師,therapist,therapist,0,90,4
2024-01-24,S010,葉美療師,therapist,therapist,0,124,4
2024-01-24,S011,陳美療師,therapist,therapist,0,105,4
2024-01-24,S012,黃諮詢師,consultant,consultant,0,95,4
2024-01-24,S013,林諮詢師,consultant,consultant,0,121,4
2024-01-24,S014,郭櫃台,admin,admin,0,372,4
2024-01-24,S015,許行政,admin,admin,0,412,4
2024-01-24,S016,邱客服,admin,admin,0,389,4
2024-01-24,S017,王護理師,nurse,nurse,0,101,4
2024-01-24,S018,趙護理師,nurse,nurse,0,103,4
2024-01-24,S019,周諮詢師,consultant,consultant,0,119,4
2024-01-25,S001,陳醫師,doctor,doctor,0,51,4
2024-01-25,S002,李醫師,doctor,doctor,0,60,4
2024-01-25,S003,吳醫師,doctor,doctor,0,49,4
2024-01-25,S004,林醫師,doctor,doctor,0,54,4
2024-01-25,S005,張護理師,nurse,nurse,0,93,4
2024-01-25,S006,劉護理師,nurse,nurse,0,144,4
2024-01-25,S007,陳護理師,nurse,nurse,0,145,4
2024-01-25,S008,王美療師,therapist,therapist,0,141,4
2024-01-25,S009,林美療師,therapist,therapist,0,131,4
2024-01-25,S010,葉美療師,therapist,therapist,0,102,4
2024-01-25,S011,陳美療師,therapist,therapist,0,140,4
2024-01-25,S012,黃諮詢師,consultant,consultant,0,112,4
2024-01-25,S013,林諮詢師,consultant,consultant,0,99,4
2024-01-25,S014,郭櫃台,admin,admin,0,306,4
2024-01-25,S015,許行政,admin,admin,0,440,4
2024-01-25,S016,邱客服,admin,admin,0,420,4
